"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,5 Aug 2021 13:46:09.730,5 Aug 2021 13:54:21.245,491.516
2,5 Aug 2021 15:22:42.701,5 Aug 2021 15:30:43.364,480.663
3,5 Aug 2021 23:16:02.620,5 Aug 2021 23:17:43.888,101.268
4,6 Aug 2021 00:48:03.990,6 Aug 2021 00:56:53.247,529.256
5,6 Aug 2021 02:26:07.964,6 Aug 2021 02:32:32.156,384.192
6,6 Aug 2021 14:09:19.136,6 Aug 2021 14:18:12.166,533.030
7,6 Aug 2021 15:46:33.886,6 Aug 2021 15:53:09.593,395.707
8,6 Aug 2021 23:37:02.499,6 Aug 2021 23:42:43.948,341.449
9,7 Aug 2021 01:11:20.443,7 Aug 2021 01:20:19.570,539.127
10,7 Aug 2021 02:52:01.636,7 Aug 2021 02:54:06.219,124.583
11,7 Aug 2021 12:57:33.812,7 Aug 2021 13:02:43.325,309.513
12,7 Aug 2021 14:32:40.911,7 Aug 2021 14:41:38.440,537.529
13,7 Aug 2021 16:10:53.211,7 Aug 2021 16:14:55.512,242.301
14,7 Aug 2021 23:59:14.643,8 Aug 2021 00:06:43.936,449.293
15,8 Aug 2021 01:35:00.126,8 Aug 2021 01:43:34.842,514.715
16,8 Aug 2021 13:20:03.629,8 Aug 2021 13:27:33.531,449.902
17,8 Aug 2021 14:56:12.971,8 Aug 2021 15:04:42.331,509.360
18,9 Aug 2021 00:21:56.026,9 Aug 2021 00:30:26.816,510.790
19,9 Aug 2021 01:59:07.798,9 Aug 2021 02:06:34.595,446.797
20,9 Aug 2021 13:43:04.028,9 Aug 2021 13:51:40.147,516.119
21,9 Aug 2021 15:19:56.273,9 Aug 2021 15:27:22.898,446.624
22,9 Aug 2021 23:11:39.498,9 Aug 2021 23:15:48.916,249.418
23,10 Aug 2021 00:45:00.640,10 Aug 2021 00:53:58.541,537.901
24,10 Aug 2021 02:24:00.121,10 Aug 2021 02:29:02.732,302.612
25,10 Aug 2021 12:32:24.511,10 Aug 2021 12:34:47.875,143.364
26,10 Aug 2021 14:06:19.703,10 Aug 2021 14:15:19.025,539.323
27,10 Aug 2021 15:43:57.058,10 Aug 2021 15:49:33.844,336.786
28,10 Aug 2021 23:33:27.400,10 Aug 2021 23:40:06.660,399.260
29,11 Aug 2021 01:08:27.659,11 Aug 2021 01:17:19.968,532.309
30,11 Aug 2021 12:54:05.450,11 Aug 2021 13:00:34.218,388.767
31,11 Aug 2021 14:29:46.363,11 Aug 2021 14:38:34.754,528.391
32,11 Aug 2021 16:09:04.888,11 Aug 2021 16:10:25.557,80.668
33,11 Aug 2021 23:55:54.579,12 Aug 2021 00:03:57.294,482.714
34,12 Aug 2021 01:32:19.475,12 Aug 2021 01:40:28.890,489.416
35,12 Aug 2021 13:16:53.128,12 Aug 2021 13:25:00.394,487.266
36,12 Aug 2021 14:53:23.349,12 Aug 2021 15:01:28.071,484.721
37,12 Aug 2021 22:47:10.727,12 Aug 2021 22:48:03.119,52.392
38,13 Aug 2021 00:18:47.143,13 Aug 2021 00:27:34.637,527.493
39,13 Aug 2021 01:56:44.282,13 Aug 2021 02:03:17.512,393.231
40,13 Aug 2021 13:40:01.556,13 Aug 2021 13:48:53.103,531.547
41,13 Aug 2021 15:17:13.440,13 Aug 2021 15:23:56.182,402.742
42,13 Aug 2021 23:07:50.482,13 Aug 2021 23:13:22.510,332.029
43,14 Aug 2021 00:42:02.150,14 Aug 2021 00:51:01.627,539.477
44,14 Aug 2021 02:22:24.418,14 Aug 2021 02:25:04.202,159.784
45,14 Aug 2021 12:28:21.454,14 Aug 2021 12:33:16.922,295.468
46,14 Aug 2021 14:03:22.629,14 Aug 2021 14:12:20.870,538.241
47,14 Aug 2021 15:41:29.681,14 Aug 2021 15:45:45.985,256.304
48,14 Aug 2021 23:30:00.209,14 Aug 2021 23:37:24.121,443.912
49,15 Aug 2021 01:05:40.227,15 Aug 2021 01:14:17.697,517.470
50,15 Aug 2021 12:50:47.822,15 Aug 2021 12:58:11.444,443.622
51,15 Aug 2021 14:26:54.024,15 Aug 2021 14:35:26.216,512.192
52,15 Aug 2021 23:52:39.957,16 Aug 2021 00:01:07.850,507.893
53,16 Aug 2021 01:29:45.800,16 Aug 2021 01:37:18.731,452.931
54,16 Aug 2021 13:13:46.917,16 Aug 2021 13:22:20.190,513.273
55,16 Aug 2021 14:50:36.493,16 Aug 2021 14:58:08.406,451.913
56,16 Aug 2021 22:42:30.225,16 Aug 2021 22:46:25.158,234.934
57,17 Aug 2021 00:15:43.126,17 Aug 2021 00:24:40.241,537.115
58,17 Aug 2021 01:54:33.964,17 Aug 2021 01:59:50.149,316.186
59,17 Aug 2021 12:03:25.475,17 Aug 2021 12:05:07.649,102.175
60,17 Aug 2021 13:37:01.785,17 Aug 2021 13:46:00.678,538.893
61,17 Aug 2021 15:14:35.703,17 Aug 2021 15:20:21.715,346.011
62,17 Aug 2021 23:04:14.067,17 Aug 2021 23:10:46.163,392.096
63,18 Aug 2021 00:39:08.646,18 Aug 2021 00:48:02.369,533.723
64,18 Aug 2021 12:24:50.909,18 Aug 2021 12:31:10.406,379.497
65,18 Aug 2021 14:00:27.771,18 Aug 2021 14:09:17.859,530.088
66,18 Aug 2021 15:39:29.741,18 Aug 2021 15:41:28.018,118.277
67,18 Aug 2021 23:26:39.340,18 Aug 2021 23:34:37.914,478.575
68,19 Aug 2021 01:02:58.694,19 Aug 2021 01:11:12.249,493.555
69,19 Aug 2021 12:47:36.608,19 Aug 2021 12:55:39.407,482.799
70,19 Aug 2021 14:24:04.052,19 Aug 2021 14:32:12.675,488.622
71,19 Aug 2021 23:49:30.390,19 Aug 2021 23:58:15.986,525.596
72,20 Aug 2021 01:27:20.846,20 Aug 2021 01:34:02.679,401.833
73,20 Aug 2021 13:10:44.037,20 Aug 2021 13:19:33.932,529.895
74,20 Aug 2021 14:47:53.090,20 Aug 2021 14:54:42.628,409.537
75,20 Aug 2021 22:38:38.696,20 Aug 2021 22:44:00.889,322.194
76,21 Aug 2021 00:12:43.948,21 Aug 2021 00:21:43.636,539.688
77,21 Aug 2021 01:52:50.725,21 Aug 2021 01:55:58.727,188.003
78,21 Aug 2021 11:59:09.584,21 Aug 2021 12:03:49.958,280.374
79,21 Aug 2021 13:34:04.389,21 Aug 2021 13:43:03.209,538.821
80,21 Aug 2021 15:12:06.558,21 Aug 2021 15:16:35.993,269.435
81,21 Aug 2021 23:00:45.896,21 Aug 2021 23:08:04.235,438.339
82,22 Aug 2021 00:36:20.440,22 Aug 2021 00:45:00.494,520.053
83,22 Aug 2021 12:21:32.135,22 Aug 2021 12:28:49.177,437.041
84,22 Aug 2021 13:57:35.121,22 Aug 2021 14:06:10.003,514.882
85,22 Aug 2021 23:23:23.987,22 Aug 2021 23:31:48.833,504.847
86,23 Aug 2021 01:00:23.963,23 Aug 2021 01:08:02.750,458.787
87,23 Aug 2021 12:44:29.873,23 Aug 2021 12:53:00.110,510.238
88,23 Aug 2021 14:21:16.774,23 Aug 2021 14:28:53.795,457.021
89,23 Aug 2021 22:13:21.538,23 Aug 2021 22:17:00.862,219.324
90,23 Aug 2021 23:46:25.699,23 Aug 2021 23:55:21.892,536.193
91,24 Aug 2021 01:25:08.263,24 Aug 2021 01:30:37.163,328.900
92,24 Aug 2021 11:34:51.391,24 Aug 2021 11:35:02.408,11.017
93,24 Aug 2021 13:07:43.909,24 Aug 2021 13:16:42.231,538.323
94,24 Aug 2021 14:45:14.504,24 Aug 2021 14:51:09.383,354.879
95,24 Aug 2021 22:35:00.890,24 Aug 2021 22:41:25.562,384.672
96,25 Aug 2021 00:09:49.734,25 Aug 2021 00:18:44.717,534.982
97,25 Aug 2021 11:55:36.584,25 Aug 2021 12:01:46.319,369.735
98,25 Aug 2021 13:31:09.226,25 Aug 2021 13:40:00.869,531.643
99,25 Aug 2021 15:09:59.350,25 Aug 2021 15:12:25.671,146.321
