"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,4 Aug 2021 13:43:40.506,4 Aug 2021 13:50:58.711,438.206
2,4 Aug 2021 15:18:55.235,4 Aug 2021 15:26:26.786,451.551
3,5 Aug 2021 00:37:24.286,5 Aug 2021 00:45:09.643,465.358
4,5 Aug 2021 02:13:15.190,5 Aug 2021 02:20:12.122,416.932
5,5 Aug 2021 13:48:25.310,5 Aug 2021 13:56:05.583,460.273
6,5 Aug 2021 15:23:55.062,5 Aug 2021 15:31:04.998,429.935
7,6 Aug 2021 00:42:07.203,6 Aug 2021 00:50:06.975,479.772
8,6 Aug 2021 02:18:29.316,6 Aug 2021 02:24:52.021,382.705
9,6 Aug 2021 13:53:12.119,6 Aug 2021 14:01:09.147,477.028
10,6 Aug 2021 15:28:56.607,6 Aug 2021 15:35:40.233,403.626
11,7 Aug 2021 00:46:52.602,7 Aug 2021 00:55:03.073,490.471
12,7 Aug 2021 02:23:49.021,7 Aug 2021 02:29:27.694,338.673
13,7 Aug 2021 13:58:00.620,7 Aug 2021 14:06:09.742,489.122
14,7 Aug 2021 15:34:00.265,7 Aug 2021 15:40:12.106,371.841
15,7 Aug 2021 23:20:16.727,7 Aug 2021 23:22:14.586,117.859
16,8 Aug 2021 00:51:40.421,8 Aug 2021 00:59:57.991,497.571
17,8 Aug 2021 02:29:16.697,8 Aug 2021 02:33:56.782,280.085
18,8 Aug 2021 14:02:50.589,8 Aug 2021 14:11:07.589,497.000
19,8 Aug 2021 15:39:06.703,8 Aug 2021 15:44:39.936,333.233
20,8 Aug 2021 23:24:11.452,8 Aug 2021 23:27:50.279,218.827
21,9 Aug 2021 00:56:30.643,9 Aug 2021 01:04:51.756,501.113
22,9 Aug 2021 02:34:58.860,9 Aug 2021 02:38:12.799,193.939
23,9 Aug 2021 14:07:41.892,9 Aug 2021 14:16:02.847,500.955
24,9 Aug 2021 15:44:17.155,9 Aug 2021 15:49:02.496,285.341
25,9 Aug 2021 23:28:25.421,9 Aug 2021 23:33:07.994,282.573
26,10 Aug 2021 01:01:23.288,10 Aug 2021 01:09:44.348,501.060
27,10 Aug 2021 12:39:15.942,10 Aug 2021 12:42:24.108,188.166
28,10 Aug 2021 14:12:34.421,10 Aug 2021 14:20:55.621,501.199
29,10 Aug 2021 15:49:34.379,10 Aug 2021 15:53:17.014,222.634
30,10 Aug 2021 23:32:47.656,10 Aug 2021 23:38:18.700,331.045
31,11 Aug 2021 01:06:18.417,11 Aug 2021 01:14:35.710,497.294
32,11 Aug 2021 12:43:30.880,11 Aug 2021 12:48:07.422,276.543
33,11 Aug 2021 14:17:28.122,11 Aug 2021 14:25:45.968,497.846
34,11 Aug 2021 15:55:08.343,11 Aug 2021 15:57:13.529,125.186
35,11 Aug 2021 23:37:15.258,11 Aug 2021 23:43:25.310,370.052
36,12 Aug 2021 01:11:16.132,12 Aug 2021 01:19:25.755,489.623
37,12 Aug 2021 12:47:59.522,12 Aug 2021 12:53:35.615,336.093
38,12 Aug 2021 14:22:22.984,12 Aug 2021 14:30:33.909,490.925
39,12 Aug 2021 23:41:46.938,12 Aug 2021 23:48:29.088,402.150
40,13 Aug 2021 01:16:16.579,13 Aug 2021 01:24:14.332,477.752
41,13 Aug 2021 12:52:34.933,13 Aug 2021 12:58:55.653,380.720
42,13 Aug 2021 14:27:19.022,13 Aug 2021 14:35:19.430,480.408
43,13 Aug 2021 23:46:22.021,13 Aug 2021 23:53:30.732,428.711
44,14 Aug 2021 01:21:19.990,14 Aug 2021 01:29:01.234,461.244
45,14 Aug 2021 12:57:14.649,14 Aug 2021 13:04:10.027,415.379
46,14 Aug 2021 14:32:16.288,14 Aug 2021 14:40:02.474,466.187
47,14 Aug 2021 23:51:00.086,14 Aug 2021 23:58:30.637,450.550
48,15 Aug 2021 01:26:26.680,15 Aug 2021 01:33:46.151,439.471
49,15 Aug 2021 13:01:57.455,15 Aug 2021 13:09:19.982,442.527
50,15 Aug 2021 14:37:14.892,15 Aug 2021 14:44:42.937,448.045
51,15 Aug 2021 23:55:40.879,16 Aug 2021 00:03:29.065,468.186
52,16 Aug 2021 01:31:37.140,16 Aug 2021 01:38:28.612,411.472
53,16 Aug 2021 13:06:42.644,16 Aug 2021 13:14:26.240,463.596
54,16 Aug 2021 14:42:15.000,16 Aug 2021 14:49:20.645,425.645
55,17 Aug 2021 00:00:24.240,17 Aug 2021 00:08:26.168,481.928
56,17 Aug 2021 01:36:52.144,17 Aug 2021 01:43:07.870,375.726
57,17 Aug 2021 13:11:29.769,17 Aug 2021 13:19:29.259,479.490
58,17 Aug 2021 14:47:16.879,17 Aug 2021 14:53:55.320,398.441
59,18 Aug 2021 00:05:10.066,18 Aug 2021 00:13:22.056,491.990
60,18 Aug 2021 01:42:13.029,18 Aug 2021 01:47:42.606,329.577
61,18 Aug 2021 13:16:18.542,18 Aug 2021 13:24:29.353,490.811
62,18 Aug 2021 14:52:20.973,18 Aug 2021 14:58:26.536,365.564
63,18 Aug 2021 22:38:22.015,18 Aug 2021 22:40:43.575,141.560
64,19 Aug 2021 00:09:58.311,19 Aug 2021 00:18:16.774,498.463
65,19 Aug 2021 01:47:42.564,19 Aug 2021 01:52:10.083,267.519
66,19 Aug 2021 13:21:08.760,19 Aug 2021 13:29:26.731,497.971
67,19 Aug 2021 14:57:28.004,19 Aug 2021 15:02:53.552,325.547
68,19 Aug 2021 22:42:22.261,19 Aug 2021 22:46:13.968,231.708
69,20 Aug 2021 00:14:48.963,20 Aug 2021 00:23:10.330,501.367
70,20 Aug 2021 01:53:29.065,20 Aug 2021 01:56:22.018,172.954
71,20 Aug 2021 13:26:00.277,20 Aug 2021 13:34:21.546,501.270
72,20 Aug 2021 15:02:39.378,20 Aug 2021 15:07:14.965,275.587
73,20 Aug 2021 22:46:38.061,20 Aug 2021 22:51:30.074,292.013
74,21 Aug 2021 00:19:42.040,21 Aug 2021 00:28:02.709,500.668
75,21 Aug 2021 11:57:26.036,21 Aug 2021 12:00:53.403,207.366
76,21 Aug 2021 13:30:53.016,21 Aug 2021 13:39:13.886,500.870
77,21 Aug 2021 15:07:58.383,21 Aug 2021 15:11:27.478,209.094
78,21 Aug 2021 22:51:01.384,21 Aug 2021 22:56:39.918,338.534
79,22 Aug 2021 00:24:37.618,22 Aug 2021 00:32:53.845,496.227
80,22 Aug 2021 12:01:44.451,22 Aug 2021 12:06:32.986,288.534
81,22 Aug 2021 13:35:46.926,22 Aug 2021 13:44:03.808,496.881
82,22 Aug 2021 15:13:39.360,22 Aug 2021 15:15:16.760,97.401
83,22 Aug 2021 22:55:29.777,22 Aug 2021 23:01:45.954,376.177
84,23 Aug 2021 00:29:35.804,23 Aug 2021 00:37:43.644,487.840
85,23 Aug 2021 12:06:14.579,23 Aug 2021 12:11:59.448,344.869
86,23 Aug 2021 13:40:41.993,23 Aug 2021 13:48:51.323,489.329
87,23 Aug 2021 23:00:02.100,23 Aug 2021 23:06:49.318,407.218
88,24 Aug 2021 00:34:36.755,24 Aug 2021 00:42:31.944,475.189
89,24 Aug 2021 12:10:50.877,24 Aug 2021 12:17:18.357,387.480
90,24 Aug 2021 13:45:38.244,24 Aug 2021 13:53:36.414,478.170
91,24 Aug 2021 23:04:37.730,24 Aug 2021 23:11:50.629,432.899
92,25 Aug 2021 00:39:40.717,25 Aug 2021 00:47:18.521,457.804
93,25 Aug 2021 12:15:31.207,25 Aug 2021 12:22:31.881,420.673
94,25 Aug 2021 13:50:35.736,25 Aug 2021 13:58:19.009,463.273
95,25 Aug 2021 23:09:16.292,25 Aug 2021 23:16:50.259,453.967
96,26 Aug 2021 00:44:48.034,26 Aug 2021 00:52:03.043,435.009
97,26 Aug 2021 12:20:14.478,26 Aug 2021 12:27:41.136,446.658
98,26 Aug 2021 13:55:34.592,26 Aug 2021 14:02:59.000,444.409
99,26 Aug 2021 23:13:57.552,26 Aug 2021 23:21:48.444,470.892
100,27 Aug 2021 00:49:59.231,27 Aug 2021 00:56:45.002,405.771
101,27 Aug 2021 12:25:00.036,27 Aug 2021 12:32:46.792,466.757
102,27 Aug 2021 14:00:34.989,27 Aug 2021 14:07:36.196,421.207
103,27 Aug 2021 23:18:41.355,27 Aug 2021 23:26:45.328,483.972
104,28 Aug 2021 00:55:15.153,28 Aug 2021 01:01:23.578,368.426
105,28 Aug 2021 12:29:47.470,28 Aug 2021 12:37:49.275,481.805
106,28 Aug 2021 14:05:37.222,28 Aug 2021 14:12:10.301,393.079
107,28 Aug 2021 23:23:27.611,28 Aug 2021 23:31:41.002,493.391
108,29 Aug 2021 01:00:37.299,29 Aug 2021 01:05:57.299,319.999
109,29 Aug 2021 12:34:36.511,29 Aug 2021 12:42:48.878,492.367
110,29 Aug 2021 14:10:41.768,29 Aug 2021 14:16:40.837,359.070
111,29 Aug 2021 21:56:29.130,29 Aug 2021 21:59:10.776,161.646
112,29 Aug 2021 23:28:16.282,29 Aug 2021 23:36:35.516,499.234
113,30 Aug 2021 01:06:08.906,30 Aug 2021 01:10:22.954,254.048
114,30 Aug 2021 12:39:26.963,30 Aug 2021 12:47:45.798,498.836
115,30 Aug 2021 14:15:49.438,30 Aug 2021 14:21:06.996,317.558
116,30 Aug 2021 22:00:33.495,30 Aug 2021 22:04:37.270,243.775
117,30 Aug 2021 23:33:07.360,30 Aug 2021 23:41:28.869,501.509
118,31 Aug 2021 01:12:01.001,31 Aug 2021 01:14:29.546,148.546
119,31 Aug 2021 11:11:49.903,31 Aug 2021 11:13:09.694,79.791
120,31 Aug 2021 12:44:18.705,31 Aug 2021 12:52:40.166,501.462
121,31 Aug 2021 14:21:01.827,31 Aug 2021 14:25:27.172,265.345
122,31 Aug 2021 22:04:50.927,31 Aug 2021 22:09:51.969,301.041
123,31 Aug 2021 23:38:00.872,31 Aug 2021 23:46:21.031,500.159
124,1 Sep 2021 11:15:37.087,1 Sep 2021 11:19:21.694,224.607
125,1 Sep 2021 12:49:11.658,1 Sep 2021 12:57:32.076,500.418
126,1 Sep 2021 14:26:22.920,1 Sep 2021 14:29:37.375,194.455
127,1 Sep 2021 22:09:15.269,1 Sep 2021 22:15:01.018,345.749
128,1 Sep 2021 23:42:56.901,1 Sep 2021 23:51:11.944,495.043
129,2 Sep 2021 11:19:58.360,2 Sep 2021 11:24:58.172,299.812
130,2 Sep 2021 12:54:05.768,2 Sep 2021 13:02:21.570,495.802
131,2 Sep 2021 14:32:16.686,2 Sep 2021 14:33:13.640,56.954
132,2 Sep 2021 22:13:44.420,2 Sep 2021 22:20:06.521,382.100
133,2 Sep 2021 23:47:55.561,2 Sep 2021 23:56:01.486,485.925
134,3 Sep 2021 11:24:29.822,3 Sep 2021 11:30:23.053,353.231
135,3 Sep 2021 12:59:01.040,3 Sep 2021 13:07:08.664,487.624
136,3 Sep 2021 22:18:17.363,3 Sep 2021 22:25:09.484,412.121
137,3 Sep 2021 23:52:57.025,4 Sep 2021 00:00:49.499,472.474
138,4 Sep 2021 11:29:06.945,4 Sep 2021 11:35:40.893,393.948
139,4 Sep 2021 13:03:57.503,4 Sep 2021 13:11:53.320,475.817
140,4 Sep 2021 22:22:53.534,4 Sep 2021 22:30:10.473,436.939
141,4 Sep 2021 23:58:01.551,5 Sep 2021 00:05:35.744,454.194
142,5 Sep 2021 11:33:47.858,5 Sep 2021 11:40:53.602,425.743
143,5 Sep 2021 13:08:55.226,5 Sep 2021 13:16:35.468,460.241
144,5 Sep 2021 22:27:32.587,5 Sep 2021 22:35:09.832,457.245
145,6 Sep 2021 00:03:09.509,6 Sep 2021 00:10:19.854,430.346
146,6 Sep 2021 11:38:31.568,6 Sep 2021 11:46:02.181,450.613
147,6 Sep 2021 13:13:54.337,6 Sep 2021 13:21:14.977,440.640
148,6 Sep 2021 22:32:14.304,6 Sep 2021 22:40:07.782,473.477
149,7 Sep 2021 00:08:21.470,7 Sep 2021 00:15:01.289,399.819
