"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,24 Aug 2021 12:49:00.115,24 Aug 2021 12:56:00.299,420.184
81,24 Aug 2021 14:23:05.779,24 Aug 2021 14:28:02.629,296.850
82,24 Aug 2021 23:28:59.143,24 Aug 2021 23:35:48.944,409.801
83,25 Aug 2021 01:03:21.152,25 Aug 2021 01:08:32.072,310.920
84,25 Aug 2021 12:23:26.431,25 Aug 2021 12:29:40.756,374.325
85,25 Aug 2021 13:56:46.488,25 Aug 2021 14:03:01.261,374.774
86,25 Aug 2021 23:03:41.362,25 Aug 2021 23:09:40.365,359.003
87,26 Aug 2021 00:36:42.353,26 Aug 2021 00:43:11.704,389.351
88,26 Aug 2021 11:58:12.648,26 Aug 2021 12:02:53.340,280.691
89,26 Aug 2021 13:30:40.703,26 Aug 2021 13:37:38.774,418.070
90,26 Aug 2021 22:38:47.027,26 Aug 2021 22:43:15.964,268.937
91,27 Aug 2021 00:10:28.108,27 Aug 2021 00:17:34.692,426.584
92,27 Aug 2021 13:04:44.302,27 Aug 2021 13:11:59.311,435.010
93,27 Aug 2021 22:15:14.899,27 Aug 2021 22:15:37.043,22.144
94,27 Aug 2021 23:44:32.107,27 Aug 2021 23:51:47.154,435.048
95,28 Aug 2021 12:38:56.684,28 Aug 2021 12:46:03.452,426.767
96,28 Aug 2021 14:13:15.873,28 Aug 2021 14:17:43.795,267.921
97,28 Aug 2021 23:18:52.509,28 Aug 2021 23:25:50.829,418.319
98,29 Aug 2021 00:53:38.766,29 Aug 2021 00:58:18.335,279.569
99,29 Aug 2021 12:13:19.568,29 Aug 2021 12:19:49.380,389.812
100,29 Aug 2021 13:46:51.284,29 Aug 2021 13:52:49.716,358.432
101,29 Aug 2021 22:53:29.866,29 Aug 2021 22:59:45.130,375.264
102,30 Aug 2021 00:26:51.028,30 Aug 2021 00:33:04.803,373.775
103,30 Aug 2021 11:47:59.006,30 Aug 2021 11:53:10.848,311.842
104,30 Aug 2021 13:20:42.606,30 Aug 2021 13:27:32.101,409.495
105,30 Aug 2021 22:28:28.280,30 Aug 2021 22:33:25.991,297.711
106,31 Aug 2021 00:00:31.302,31 Aug 2021 00:07:31.238,419.936
107,31 Aug 2021 11:23:26.821,31 Aug 2021 11:25:35.720,128.899
108,31 Aug 2021 12:54:43.916,31 Aug 2021 13:01:56.904,432.988
109,31 Aug 2021 22:04:08.942,31 Aug 2021 22:06:32.267,143.325
110,31 Aug 2021 23:34:30.838,31 Aug 2021 23:41:46.164,435.326
111,1 Sep 2021 12:28:53.947,1 Sep 2021 12:36:05.389,431.442
112,1 Sep 2021 14:03:28.579,1 Sep 2021 14:07:21.829,233.250
113,1 Sep 2021 23:08:47.007,1 Sep 2021 23:15:52.093,425.086
114,2 Sep 2021 00:44:00.501,2 Sep 2021 00:48:01.047,240.546
115,2 Sep 2021 12:03:13.761,2 Sep 2021 12:09:56.406,402.645
116,2 Sep 2021 13:36:57.085,2 Sep 2021 13:42:36.651,339.566
117,2 Sep 2021 22:43:19.746,2 Sep 2021 22:49:49.032,389.286
118,3 Sep 2021 00:17:01.502,3 Sep 2021 00:22:56.645,355.143
119,3 Sep 2021 11:37:47.804,3 Sep 2021 11:43:25.353,337.548
120,3 Sep 2021 13:10:45.170,3 Sep 2021 13:17:24.252,399.082
121,3 Sep 2021 22:18:11.901,3 Sep 2021 22:23:34.162,322.261
122,3 Sep 2021 23:50:35.782,3 Sep 2021 23:57:27.025,411.242
123,4 Sep 2021 11:12:53.773,4 Sep 2021 11:16:14.256,200.483
124,4 Sep 2021 12:44:44.115,4 Sep 2021 12:51:53.402,429.287
125,4 Sep 2021 21:53:35.899,4 Sep 2021 21:56:55.106,199.207
126,4 Sep 2021 23:24:30.686,4 Sep 2021 23:31:44.572,433.886
127,5 Sep 2021 12:18:51.854,5 Sep 2021 12:26:06.156,434.303
128,5 Sep 2021 13:53:45.393,5 Sep 2021 13:56:55.230,189.837
129,5 Sep 2021 22:58:42.616,5 Sep 2021 23:05:52.756,430.141
130,6 Sep 2021 00:34:28.739,6 Sep 2021 00:37:37.827,189.088
131,6 Sep 2021 11:53:08.882,6 Sep 2021 12:00:01.977,413.095
132,6 Sep 2021 13:27:04.086,6 Sep 2021 13:32:21.864,317.778
133,6 Sep 2021 22:33:10.914,6 Sep 2021 22:39:52.165,401.252
134,7 Sep 2021 00:07:14.048,7 Sep 2021 00:12:46.963,332.914
