"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,4 Aug 2021 13:38:39.198,4 Aug 2021 13:44:17.162,337.964
2,4 Aug 2021 15:11:22.903,4 Aug 2021 15:17:38.629,375.726
3,5 Aug 2021 00:16:28.193,5 Aug 2021 00:21:26.412,298.219
4,5 Aug 2021 01:48:22.216,5 Aug 2021 01:55:02.170,399.954
5,5 Aug 2021 13:08:00.090,5 Aug 2021 13:10:29.602,149.512
6,5 Aug 2021 14:39:09.942,5 Aug 2021 14:46:07.193,417.251
7,5 Aug 2021 23:46:49.422,5 Aug 2021 23:47:43.915,54.492
8,6 Aug 2021 01:16:09.919,6 Aug 2021 01:23:11.833,421.915
9,6 Aug 2021 14:07:12.214,6 Aug 2021 14:14:08.101,415.887
10,6 Aug 2021 15:41:21.319,6 Aug 2021 15:45:09.589,228.270
11,7 Aug 2021 00:44:25.509,7 Aug 2021 00:51:06.086,400.577
12,7 Aug 2021 02:18:39.488,7 Aug 2021 02:23:16.755,277.267
13,7 Aug 2021 13:35:32.028,7 Aug 2021 13:41:38.869,366.841
14,7 Aug 2021 15:08:35.208,7 Aug 2021 15:14:27.694,352.485
15,8 Aug 2021 00:13:10.551,8 Aug 2021 00:18:43.309,332.758
16,8 Aug 2021 01:45:37.077,8 Aug 2021 01:51:59.659,382.583
17,8 Aug 2021 13:04:25.928,8 Aug 2021 13:08:22.547,236.619
18,8 Aug 2021 14:36:16.759,8 Aug 2021 14:43:05.675,408.917
19,8 Aug 2021 23:42:43.831,8 Aug 2021 23:45:44.794,180.963
20,9 Aug 2021 01:13:15.115,9 Aug 2021 01:20:15.000,419.884
21,9 Aug 2021 14:04:14.298,9 Aug 2021 14:11:15.249,420.950
22,9 Aug 2021 15:38:56.151,9 Aug 2021 15:41:30.919,154.769
23,10 Aug 2021 00:41:22.067,10 Aug 2021 00:48:13.964,411.898
24,10 Aug 2021 02:16:19.519,10 Aug 2021 02:19:54.549,215.030
25,10 Aug 2021 13:32:27.833,10 Aug 2021 13:38:56.304,388.471
26,10 Aug 2021 15:05:49.954,10 Aug 2021 15:11:13.077,323.123
27,11 Aug 2021 00:09:57.117,11 Aug 2021 00:15:57.254,360.138
28,11 Aug 2021 01:42:55.723,11 Aug 2021 01:48:54.643,358.920
29,11 Aug 2021 13:01:06.889,11 Aug 2021 13:05:59.004,292.115
30,11 Aug 2021 14:33:25.108,11 Aug 2021 14:40:01.380,396.272
31,11 Aug 2021 23:39:09.933,11 Aug 2021 23:43:15.233,245.301
32,12 Aug 2021 01:10:23.137,12 Aug 2021 01:17:16.591,413.454
33,12 Aug 2021 14:01:17.920,12 Aug 2021 14:08:19.609,421.688
34,13 Aug 2021 00:38:21.377,13 Aug 2021 00:45:20.325,418.948
35,13 Aug 2021 02:14:23.520,13 Aug 2021 02:16:09.751,106.230
36,13 Aug 2021 13:29:25.982,13 Aug 2021 13:36:10.118,404.136
37,13 Aug 2021 15:03:07.967,13 Aug 2021 15:07:53.944,285.976
38,14 Aug 2021 00:06:47.199,14 Aug 2021 00:13:08.919,381.720
39,14 Aug 2021 01:40:18.919,14 Aug 2021 01:45:46.380,327.461
40,14 Aug 2021 12:57:54.793,14 Aug 2021 13:03:27.166,332.373
41,14 Aug 2021 14:30:35.135,14 Aug 2021 14:36:54.173,379.038
42,14 Aug 2021 23:35:45.639,14 Aug 2021 23:40:37.331,291.692
43,15 Aug 2021 01:07:34.153,15 Aug 2021 01:14:16.439,402.286
44,15 Aug 2021 12:27:23.272,15 Aug 2021 12:29:31.316,128.044
45,15 Aug 2021 13:58:23.023,15 Aug 2021 14:05:21.246,418.223
46,16 Aug 2021 00:35:23.388,16 Aug 2021 00:42:25.228,421.840
47,16 Aug 2021 13:26:26.090,16 Aug 2021 13:33:20.710,414.621
48,16 Aug 2021 15:00:30.906,16 Aug 2021 15:04:28.635,237.729
49,17 Aug 2021 00:03:40.407,17 Aug 2021 00:10:18.701,398.294
50,17 Aug 2021 01:37:48.025,17 Aug 2021 01:42:33.533,285.508
51,17 Aug 2021 12:54:47.044,17 Aug 2021 13:00:49.667,362.623
52,17 Aug 2021 14:27:47.090,17 Aug 2021 14:33:43.797,356.708
53,17 Aug 2021 23:32:27.204,17 Aug 2021 23:37:54.819,327.615
54,18 Aug 2021 01:04:48.441,18 Aug 2021 01:11:14.292,385.852
55,18 Aug 2021 12:23:44.167,18 Aug 2021 12:27:29.432,225.265
56,18 Aug 2021 13:55:29.595,18 Aug 2021 14:02:20.178,410.582
57,18 Aug 2021 23:02:05.049,18 Aug 2021 23:04:52.383,167.334
58,19 Aug 2021 00:32:28.128,19 Aug 2021 00:39:28.643,420.515
59,19 Aug 2021 13:23:27.903,19 Aug 2021 13:30:28.330,420.428
60,19 Aug 2021 14:58:03.170,19 Aug 2021 15:00:52.741,169.571
61,20 Aug 2021 00:00:36.503,20 Aug 2021 00:07:26.834,410.331
62,20 Aug 2021 01:35:26.024,20 Aug 2021 01:39:13.135,227.111
63,20 Aug 2021 12:51:42.411,20 Aug 2021 12:58:07.757,385.346
64,20 Aug 2021 14:25:01.391,20 Aug 2021 14:30:29.830,328.438
65,20 Aug 2021 23:29:13.134,20 Aug 2021 23:35:09.188,356.053
66,21 Aug 2021 01:02:06.424,21 Aug 2021 01:08:09.725,363.300
67,21 Aug 2021 12:20:23.500,21 Aug 2021 12:25:07.735,284.235
68,21 Aug 2021 13:52:37.682,21 Aug 2021 13:59:16.348,398.666
69,21 Aug 2021 22:58:28.749,21 Aug 2021 23:02:25.023,236.274
