"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,4 Aug 2021 13:39:57.055,4 Aug 2021 13:45:55.802,358.747
2,4 Aug 2021 15:13:13.360,4 Aug 2021 15:19:52.382,399.022
3,5 Aug 2021 00:21:33.589,5 Aug 2021 00:27:28.831,355.242
4,5 Aug 2021 01:54:33.021,5 Aug 2021 02:01:18.016,404.995
5,5 Aug 2021 13:17:47.940,5 Aug 2021 13:22:12.789,264.848
6,5 Aug 2021 14:50:16.182,5 Aug 2021 14:57:25.928,429.746
7,5 Aug 2021 23:59:36.651,6 Aug 2021 00:04:12.618,275.967
8,6 Aug 2021 01:31:27.997,6 Aug 2021 01:38:41.885,433.887
9,6 Aug 2021 14:27:25.511,6 Aug 2021 14:34:47.348,441.837
10,6 Aug 2021 16:03:16.281,6 Aug 2021 16:04:46.349,90.067
11,6 Aug 2021 23:38:19.816,6 Aug 2021 23:40:21.980,122.164
12,7 Aug 2021 01:08:36.184,7 Aug 2021 01:15:58.239,442.055
13,7 Aug 2021 14:04:41.187,7 Aug 2021 14:11:56.796,435.609
14,7 Aug 2021 15:39:15.205,7 Aug 2021 15:43:40.529,265.325
15,8 Aug 2021 00:45:56.399,8 Aug 2021 00:53:08.208,431.809
16,8 Aug 2021 02:21:18.879,8 Aug 2021 02:25:30.035,251.156
17,8 Aug 2021 13:42:04.190,8 Aug 2021 13:48:53.216,409.026
18,8 Aug 2021 15:15:57.192,8 Aug 2021 15:21:45.971,348.779
19,9 Aug 2021 00:23:28.661,9 Aug 2021 00:30:11.734,403.073
20,9 Aug 2021 01:57:32.296,9 Aug 2021 02:03:23.868,351.572
21,9 Aug 2021 13:19:37.398,9 Aug 2021 13:25:33.634,356.236
22,9 Aug 2021 14:52:52.227,9 Aug 2021 14:59:32.719,400.492
23,10 Aug 2021 00:01:14.417,10 Aug 2021 00:07:07.391,352.975
24,10 Aug 2021 01:34:11.471,10 Aug 2021 01:40:57.933,406.462
25,10 Aug 2021 12:57:29.296,10 Aug 2021 13:01:49.390,260.093
26,10 Aug 2021 14:29:55.303,10 Aug 2021 14:37:05.808,430.506
27,10 Aug 2021 23:39:18.308,10 Aug 2021 23:43:50.557,272.249
28,11 Aug 2021 01:11:06.967,11 Aug 2021 01:18:21.494,434.527
29,11 Aug 2021 14:07:04.860,11 Aug 2021 14:14:26.796,441.936
30,11 Aug 2021 15:42:49.857,11 Aug 2021 15:44:32.589,102.733
31,11 Aug 2021 23:18:04.878,11 Aug 2021 23:19:56.719,111.840
32,12 Aug 2021 00:48:15.604,12 Aug 2021 00:55:37.603,441.999
33,12 Aug 2021 13:44:20.779,12 Aug 2021 13:51:35.799,435.021
34,12 Aug 2021 15:18:53.075,12 Aug 2021 15:23:22.272,269.197
35,13 Aug 2021 00:25:36.249,13 Aug 2021 00:32:47.346,431.097
36,13 Aug 2021 02:00:55.346,13 Aug 2021 02:05:11.511,256.165
37,13 Aug 2021 13:21:44.086,13 Aug 2021 13:28:31.703,407.617
38,13 Aug 2021 14:55:35.724,13 Aug 2021 15:01:26.843,351.119
39,14 Aug 2021 00:03:08.967,14 Aug 2021 00:09:50.623,401.656
40,14 Aug 2021 01:37:10.076,14 Aug 2021 01:43:04.253,354.177
41,14 Aug 2021 12:59:17.765,14 Aug 2021 13:05:11.438,353.673
42,14 Aug 2021 14:32:31.106,14 Aug 2021 14:39:13.041,401.935
43,14 Aug 2021 23:40:55.269,14 Aug 2021 23:46:45.935,350.665
44,15 Aug 2021 01:13:49.943,15 Aug 2021 01:20:37.840,407.897
45,15 Aug 2021 12:37:10.719,15 Aug 2021 12:41:25.916,255.197
46,15 Aug 2021 14:09:34.435,15 Aug 2021 14:16:45.672,431.236
47,15 Aug 2021 23:19:00.010,15 Aug 2021 23:23:28.458,268.449
48,16 Aug 2021 00:50:45.954,16 Aug 2021 00:58:01.091,435.137
49,16 Aug 2021 13:46:44.218,16 Aug 2021 13:54:06.229,442.012
50,16 Aug 2021 15:22:24.160,16 Aug 2021 15:24:18.091,113.931
51,16 Aug 2021 22:57:50.509,16 Aug 2021 22:59:30.902,100.393
52,17 Aug 2021 00:27:55.040,17 Aug 2021 00:35:16.958,441.919
53,17 Aug 2021 13:24:00.376,17 Aug 2021 13:31:14.783,434.407
54,17 Aug 2021 14:58:30.984,17 Aug 2021 15:03:03.963,272.979
55,18 Aug 2021 00:05:16.115,18 Aug 2021 00:12:26.473,430.357
56,18 Aug 2021 01:40:31.886,18 Aug 2021 01:44:52.918,261.031
57,18 Aug 2021 13:01:23.996,18 Aug 2021 13:08:10.172,406.176
58,18 Aug 2021 14:35:14.272,18 Aug 2021 14:41:07.693,353.421
59,18 Aug 2021 23:42:49.289,18 Aug 2021 23:49:29.497,400.208
60,19 Aug 2021 01:16:47.884,19 Aug 2021 01:22:44.613,356.729
61,19 Aug 2021 12:38:58.153,19 Aug 2021 12:44:49.212,351.059
62,19 Aug 2021 14:12:09.994,19 Aug 2021 14:18:53.342,403.348
63,19 Aug 2021 23:20:36.144,19 Aug 2021 23:26:24.462,348.318
64,20 Aug 2021 00:53:28.434,20 Aug 2021 01:00:17.731,409.297
65,20 Aug 2021 12:16:52.208,20 Aug 2021 12:21:02.366,250.158
66,20 Aug 2021 13:49:13.572,20 Aug 2021 13:56:25.519,431.947
67,20 Aug 2021 22:58:41.755,20 Aug 2021 23:03:06.322,264.567
68,21 Aug 2021 00:30:24.957,21 Aug 2021 00:37:40.679,435.722
69,21 Aug 2021 13:26:23.582,21 Aug 2021 13:33:45.646,442.063
70,21 Aug 2021 15:01:58.984,21 Aug 2021 15:04:03.069,124.084
71,21 Aug 2021 22:37:36.918,21 Aug 2021 22:39:04.310,87.392
72,22 Aug 2021 00:07:34.490,22 Aug 2021 00:14:56.304,441.814
73,22 Aug 2021 13:03:39.986,22 Aug 2021 13:10:53.746,433.761
74,22 Aug 2021 14:38:08.926,22 Aug 2021 14:42:45.611,276.685
75,22 Aug 2021 23:44:55.998,22 Aug 2021 23:52:05.594,429.596
76,23 Aug 2021 01:20:08.502,23 Aug 2021 01:24:34.258,265.756
77,23 Aug 2021 12:41:03.918,23 Aug 2021 12:47:48.619,404.701
78,23 Aug 2021 14:14:52.834,23 Aug 2021 14:20:48.518,355.683
79,23 Aug 2021 23:22:29.629,23 Aug 2021 23:29:08.364,398.735
80,24 Aug 2021 00:56:25.724,24 Aug 2021 01:02:24.951,359.227
81,24 Aug 2021 12:18:38.566,24 Aug 2021 12:24:26.949,348.383
82,24 Aug 2021 13:51:48.893,24 Aug 2021 13:58:33.627,404.734
83,24 Aug 2021 23:00:17.042,24 Aug 2021 23:06:02.978,345.937
84,25 Aug 2021 00:33:06.947,25 Aug 2021 00:39:57.608,410.661
85,25 Aug 2021 11:56:33.775,25 Aug 2021 12:00:38.731,244.956
86,25 Aug 2021 13:28:52.719,25 Aug 2021 13:36:05.352,432.633
87,25 Aug 2021 22:38:23.547,25 Aug 2021 22:42:44.148,260.601
88,26 Aug 2021 00:10:03.979,26 Aug 2021 00:17:20.257,436.278
89,26 Aug 2021 13:06:02.957,26 Aug 2021 13:13:25.047,442.091
90,26 Aug 2021 14:41:34.215,26 Aug 2021 14:43:47.633,133.418
91,26 Aug 2021 22:17:24.530,26 Aug 2021 22:18:36.528,71.998
92,26 Aug 2021 23:47:13.958,26 Aug 2021 23:54:35.645,441.687
93,27 Aug 2021 12:43:19.606,27 Aug 2021 12:50:32.699,433.093
94,27 Aug 2021 14:17:46.904,27 Aug 2021 14:22:27.222,280.318
95,27 Aug 2021 23:24:35.897,27 Aug 2021 23:31:44.706,428.809
96,28 Aug 2021 00:59:45.188,28 Aug 2021 01:04:15.540,270.352
97,28 Aug 2021 12:20:43.854,28 Aug 2021 12:27:27.044,403.190
98,28 Aug 2021 13:54:31.414,28 Aug 2021 14:00:29.317,357.903
99,28 Aug 2021 23:02:09.988,28 Aug 2021 23:08:47.220,397.231
