"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,4 Aug 2021 13:41:10.132,4 Aug 2021 13:47:37.586,387.454
2,4 Aug 2021 15:15:07.367,4 Aug 2021 15:22:03.467,416.101
3,5 Aug 2021 00:26:48.021,5 Aug 2021 00:33:23.038,395.017
4,5 Aug 2021 02:00:44.438,5 Aug 2021 02:07:36.750,412.312
5,5 Aug 2021 13:27:49.492,5 Aug 2021 13:33:40.271,350.779
6,5 Aug 2021 15:01:26.438,5 Aug 2021 15:08:41.142,434.704
7,6 Aug 2021 00:13:32.584,6 Aug 2021 00:19:38.011,365.427
8,6 Aug 2021 01:46:56.410,6 Aug 2021 01:54:09.765,433.355
9,6 Aug 2021 13:14:34.375,6 Aug 2021 13:19:35.839,301.464
10,6 Aug 2021 14:47:47.245,6 Aug 2021 14:55:15.595,448.351
11,7 Aug 2021 00:00:21.676,7 Aug 2021 00:05:49.951,328.275
12,7 Aug 2021 01:33:12.263,7 Aug 2021 01:40:40.426,448.162
13,7 Aug 2021 13:01:28.865,7 Aug 2021 13:05:20.169,231.304
14,7 Aug 2021 14:34:09.653,7 Aug 2021 14:41:46.971,457.319
15,7 Aug 2021 23:47:16.618,7 Aug 2021 23:51:57.537,280.919
16,8 Aug 2021 01:19:31.608,8 Aug 2021 01:27:09.099,457.491
17,8 Aug 2021 12:48:51.149,8 Aug 2021 12:50:35.035,103.885
18,8 Aug 2021 14:20:33.600,8 Aug 2021 14:28:15.323,461.723
19,8 Aug 2021 15:56:48.288,8 Aug 2021 15:59:00.026,131.739
20,8 Aug 2021 23:34:20.465,8 Aug 2021 23:37:57.711,217.246
21,9 Aug 2021 01:05:54.207,9 Aug 2021 01:13:36.023,461.815
22,9 Aug 2021 14:06:59.106,9 Aug 2021 14:14:40.638,461.532
23,9 Aug 2021 15:42:33.475,9 Aug 2021 15:46:20.173,226.698
24,9 Aug 2021 23:21:45.211,9 Aug 2021 23:23:38.494,113.283
25,10 Aug 2021 00:52:19.912,10 Aug 2021 01:00:01.327,461.415
26,10 Aug 2021 02:29:46.713,10 Aug 2021 02:31:55.322,128.609
27,10 Aug 2021 13:53:26.245,10 Aug 2021 14:01:02.832,456.587
28,10 Aug 2021 15:28:34.899,10 Aug 2021 15:33:22.579,287.680
29,11 Aug 2021 00:38:48.649,11 Aug 2021 00:46:25.085,456.436
30,11 Aug 2021 02:15:08.703,11 Aug 2021 02:19:10.700,241.998
31,11 Aug 2021 13:39:55.160,11 Aug 2021 13:47:21.749,446.590
32,11 Aug 2021 15:14:43.155,11 Aug 2021 15:20:16.664,333.509
33,12 Aug 2021 00:25:20.416,12 Aug 2021 00:32:47.290,446.874
34,12 Aug 2021 02:00:54.887,12 Aug 2021 02:06:03.546,308.658
35,12 Aug 2021 13:26:26.096,12 Aug 2021 13:33:37.131,431.035
36,12 Aug 2021 15:00:55.534,12 Aug 2021 15:07:05.120,369.587
37,13 Aug 2021 00:11:55.273,13 Aug 2021 00:19:07.886,432.614
