"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,22 Aug 2021 23:54:50.447,23 Aug 2021 00:03:28.872,518.424
81,23 Aug 2021 01:33:13.418,23 Aug 2021 01:37:58.550,285.132
82,23 Aug 2021 13:11:04.531,23 Aug 2021 13:19:44.315,519.784
83,23 Aug 2021 14:48:07.509,23 Aug 2021 14:53:29.932,322.423
84,23 Aug 2021 22:35:08.604,23 Aug 2021 22:40:35.755,327.151
85,24 Aug 2021 00:08:57.424,24 Aug 2021 00:17:36.907,519.483
86,24 Aug 2021 11:50:40.111,24 Aug 2021 11:55:32.279,292.168
87,24 Aug 2021 13:25:12.802,24 Aug 2021 13:33:50.802,518.000
88,24 Aug 2021 15:03:06.517,24 Aug 2021 15:06:17.569,191.053
89,24 Aug 2021 22:48:25.525,24 Aug 2021 22:55:11.070,405.545
90,25 Aug 2021 00:23:14.801,25 Aug 2021 00:31:39.859,505.058
91,25 Aug 2021 12:04:06.561,25 Aug 2021 12:10:44.319,397.758
92,25 Aug 2021 13:39:25.745,25 Aug 2021 13:47:47.338,501.593
93,25 Aug 2021 23:01:57.483,25 Aug 2021 23:09:36.656,459.174
94,26 Aug 2021 00:37:43.813,26 Aug 2021 00:45:36.572,472.759
95,26 Aug 2021 12:17:51.435,26 Aug 2021 12:25:32.174,460.739
96,26 Aug 2021 13:53:43.578,26 Aug 2021 14:01:33.726,470.148
97,26 Aug 2021 23:15:41.073,26 Aug 2021 23:23:55.894,494.820
98,27 Aug 2021 00:52:27.112,27 Aug 2021 00:59:24.517,417.405
99,27 Aug 2021 12:31:46.167,27 Aug 2021 12:40:04.604,498.437
100,27 Aug 2021 14:08:07.289,27 Aug 2021 14:15:08.949,421.659
101,27 Aug 2021 21:57:40.095,27 Aug 2021 21:59:51.893,131.798
102,27 Aug 2021 23:29:34.989,27 Aug 2021 23:38:10.079,515.090
103,28 Aug 2021 01:07:31.192,28 Aug 2021 01:12:57.388,326.196
